"3. Inhabitants' disposable monetary income 2016"

"Postal code area","Inhabintants belonging to the lowest income category, 2016 (HR)","Inhabintants belonging to the highest income category, 2016 (HR)"
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki",2856,6411
"00120 Punavuori   (Helsinki )",1107,2519
"00130 Kaartinkaupunki   (Helsinki )",263,592
"00140 Kaivopuisto - Ullanlinna   (Helsinki )",1209,3034
"00150 Eira - Hernesaari   (Helsinki )",1427,3201
"00160 Katajanokka   (Helsinki )",601,1547
"00170 Kruununhaka   (Helsinki )",1109,2707
"00180 Kamppi - Ruoholahti   (Helsinki )",2010,3972
"00190 Suomenlinna   (Helsinki )",88,194
"00200 Lauttasaari   (Helsinki )",1937,4876
"00210 Vattuniemi   (Helsinki )",786,3132
"00220 Jätkäsaari   (Helsinki )",720,894
"00230 Ilmala   (Helsinki )",0,0
"00240 Länsi-Pasila   (Helsinki )",809,1057
"00250 Taka-Töölö   (Helsinki )",1629,3435
"00260 Keski-Töölö   (Helsinki )",824,1858
"00270 Pohjois-Meilahti   (Helsinki )",1104,1993
"00280 Ruskeasuo   (Helsinki )",565,704
"00290 Meilahden sairaala-alue   (Helsinki )",19,56
"00300 Pikku Huopalahti   (Helsinki )",748,1274
"00310 Kivihaka   (Helsinki )",112,206
"00320 Etelä-Haaga   (Helsinki )",1436,2520
"00330 Munkkiniemi   (Helsinki )",1070,2981
"00340 Kuusisaari-Lehtisaari   (Helsinki )",264,700
"00350 Munkkivuori-Niemenmäki   (Helsinki )",1426,2228
"00360 Pajamäki   (Helsinki )",288,399
"00370 Reimarla   (Helsinki )",971,1441
"00380 Pitäjänmäen teollisuusalue   (Helsinki )",600,979
"00390 Konala   (Helsinki )",896,1371
"00400 Pohjois-Haaga   (Helsinki )",1693,1707
"00410 Malminkartano   (Helsinki )",1772,1171
"00420 Kannelmäki   (Helsinki )",2597,2011
"00430 Maununneva   (Helsinki )",650,1499
"00440 Lassila   (Helsinki )",707,932
"00500 Sörnäinen   (Helsinki )",2327,2397
"00510 Etu-Vallila - Alppila   (Helsinki )",1492,1944
"00520 Itä-Pasila   (Helsinki )",1349,1445
"00530 Kallio   (Helsinki )",3270,4089
"00540 Kalasatama   (Helsinki )",364,674
"00550 Vallila   (Helsinki )",1962,1523
"00560 Toukola-Vanhakaupunki   (Helsinki )",2131,3391
"00570 Kulosaari   (Helsinki )",600,1297
"00580 Verkkosaari   (Helsinki )",430,667
"00590 Kaitalahti   (Helsinki )",96,240
"00600 Koskela-Helsinki   (Helsinki )",863,586
"00610 Käpylä   (Helsinki )",977,1813
"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )",420,895
"00630 Maunula-Suursuo   (Helsinki )",1174,1391
"00640 Oulunkylä-Patola   (Helsinki )",1127,1871
"00650 Veräjämäki   (Helsinki )",558,1058
"00660 Länsi-Pakila   (Helsinki )",738,2396
"00670 Paloheinä   (Helsinki )",620,2272
"00680 Itä-Pakila   (Helsinki )",438,1210
"00690 Tuomarinkylä-Torpparinmäki   (Helsinki )",302,784
"00700 Malmi   (Helsinki )",2034,1893
