from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5861358;366;25638;114;72;26759;151;135;32272;166;135;32272;54;35522;48;35537;32
5785641;5861358;352;24668;120;76;26090;162;138;32478;174;138;32478;51;35733;45;35748;30
5785642;5861358;354;24747;120;76;26090;166;140;32596;174;140;32596;51;30216;45;30231;30
5785643;5861358;358;25040;100;63;21983;172;144;32889;174;144;32889;51;28332;45;28332;30
5787544;5861358;359;25149;111;70;26220;151;128;31783;157;128;31783;54;35097;48;35111;31
5787545;5861358;360;25218;111;70;26220;151;129;31852;157;129;31852;54;35383;48;35398;31
5787546;5861358;363;25444;111;70;26220;151;132;32077;166;132;32077;50;29242;45;29257;30
5787547;5861358;351;24554;120;76;26090;171;145;32977;173;145;32977;50;29633;45;29648;30
5787548;5861358;348;24328;120;76;26090;166;141;32704;171;141;32704;50;29755;45;29769;30
5787549;5861358;349;24462;120;76;26090;171;145;32997;173;145;32997;51;29998;45;30013;30
5787550;5861358;303;21188;100;63;21983;177;128;30542;178;135;31600;51;28130;45;28130;30
5789447;5861358;343;24028;109;69;25393;112;88;29016;131;88;29016;51;32907;45;32922;29
5789448;5861358;343;24025;109;69;25390;112;89;29036;131;89;29036;51;33272;46;33286;29
5789449;5861358;344;24085;109;69;25526;112;90;29097;131;90;29097;51;33698;45;33712;29
5789450;5861358;363;25385;109;69;25526;151;131;32019;166;131;32019;51;34016;45;34031;29
5789451;5861358;363;25424;111;70;26220;151;132;32057;166;132;32057;54;35344;48;35358;31
5789452;5861358;343;23990;111;70;26220;168;139;29571;167;139;29571;50;29141;44;29156;30
5789453;5861358;343;24026;120;76;26090;168;140;29607;167;140;29607;50;29318;45;29333;30
5789454;5861358;344;24113;120;76;26090;168;141;29694;168;145;32986;50;29582;45;29597;30
5789455;5861358;347;24289;100;63;22016;171;144;29871;171;144;29871;51;29803;45;29818;30
5789456;5861358;300;21027;100;63;22016;168;126;30382;178;133;31439;47;28041;42;28041;31
5791353;5861358;348;24387;113;72;26443;114;94;29376;135;94;29376;52;32497;45;32512;28
5791354;5861358;345;24155;108;68;25236;112;90;29143;135;90;29143;51;33088;45;33103;29
5791355;5861358;338;23678;108;68;25148;104;85;28804;131;85;28804;51;33269;45;33284;29
5791356;5861358;339;23740;108;68;25097;112;90;29152;135;90;29152;51;33894;45;33909;29
5791357;5861358;340;23828;109;69;25526;114;93;29221;135;93;29221;51;34008;45;34023;29
5791358;5861358;341;23878;109;69;25526;163;138;29460;165;138;29460;51;28636;45;28651;29
5791359;5861358;338;23681;109;69;25526;151;135;29262;155;135;29262;50;28959;44;28974;30
5791360;5861358;339;23735;120;76;26090;156;136;29316;159;136;29316;50;29327;44;29342;30
5791361;5861358;344;24088;100;63;22016;168;141;29670;167;141;29670;50;29681;44;29696;30
5791362;5861358;349;24400;100;63;22016;172;145;29981;173;145;29981;50;29990;45;30004;30
5791363;5861358;300;21022;100;63;22016;168;126;30377;178;133;31434;47;27936;42;27936;31
5793258;5861358;354;24773;111;70;26193;125;99;29762;139;99;29762;53;33762;47;33776;30
5793259;5861358;350;24473;111;70;26137;118;95;29461;135;95;29461;52;33602;46;33616;29
5793260;5861358;350;24508;110;70;25723;118;95;29496;135;95;29496;51;33565;45;33580;29
5793261;5861358;336;23551;107;68;24883;112;89;28940;131;89;28940;50;33346;45;33361;29
5793262;5861358;335;23447;107;68;24926;112;89;28938;131;89;28938;50;33771;45;33786;29
5793263;5861358;336;23494;107;68;24926;118;94;28521;135;94;28521;51;34877;45;34892;29
5793264;5861358;335;23425;106;67;24637;151;131;29007;152;131;29007;49;28580;44;28595;29
5793265;5861358;335;23466;106;67;24575;151;132;29047;154;132;29047;49;28913;44;28927;29
5793266;5861358;335;23475;111;71;24620;151;132;29056;154;132;29056;50;29110;44;29124;29
5793267;5861358;346;24249;111;71;24620;171;143;29831;170;143;29831;50;29905;44;29919;29
5793268;5861358;352;24647;100;63;22016;181;152;31605;174;149;30228;50;30131;45;30146;30
5793269;5861358;305;21323;101;64;21977;186;136;31058;178;143;32115;47;28943;42;28958;31
5793270;5861358;302;21142;101;64;21977;177;133;30878;178;140;31935;47;28045;42;28135;31
5795164;5861358;355;24848;111;70;26137;125;100;29836;139;100;29836;53;33886;47;33900;30
5795165;5861358;356;24930;111;70;26137;125;101;29918;139;101;29918;53;35662;47;35676;30
5795166;5861358;355;24860;106;67;24613;125;100;29848;139;100;29848;51;35511;45;35526;30
5795167;5861358;332;23226;107;68;24850;112;90;28239;135;90;28239;50;33897;44;33911;29
5795168;5861358;332;23226;106;67;24637;112;90;28240;135;90;28240;50;34459;45;34473;30
5795169;5861358;333;23307;106;67;24637;112;91;28334;135;91;28334;50;34681;45;34696;30
5795170;5861358;331;23156;106;67;24575;154;127;28737;150;127;28737;50;28319;45;28333;30
